,train,val,test
0,2025-02-05-22-58-11,2025-02-05-23-00-05,13952-0
1,2025-02-05-22-59-14,2025-02-05-23-02-25,13952-1
2,2025-02-05-23-04-18,2025-02-05-23-20-42,13953-0
3,2025-02-05-23-05-55,2025-02-05-23-23-10,13953-1
4,2025-02-05-23-07-43,2025-02-05-23-39-39,13954-0
5,2025-02-05-23-10-36,2025-02-05-23-41-39,13955-0
6,2025-02-05-23-12-46,2025-02-05-23-56-41,13957-0
7,2025-02-05-23-14-54,2025-02-05-23-58-30,13958-0
8,2025-02-05-23-15-54,2025-02-06-00-17-16,13958-1
9,2025-02-05-23-18-40,2025-02-06-00-19-28,13958-2
10,2025-02-05-23-24-27,2025-02-06-00-34-41,13958-3
11,2025-02-05-23-27-12,2025-02-06-00-36-03,13959-0
12,2025-02-05-23-28-51,2025-02-17-16-45-24,13960-0
13,2025-02-05-23-30-11,2025-02-17-16-46-54,13961-0
14,2025-02-05-23-31-42,2025-02-17-17-04-42,13961-1
15,2025-02-05-23-33-45,2025-02-17-17-06-53,13962-0
16,2025-02-05-23-35-28,2025-02-17-17-24-03,13962-1
17,2025-02-05-23-38-21,2025-02-17-17-26-40,13963-0
18,2025-02-05-23-43-23,2025-02-17-17-39-17,13964-0
19,2025-02-05-23-44-27,2025-02-17-17-40-15,13965-0
20,2025-02-05-23-46-58,2025-02-17-17-53-54,13965-1
21,2025-02-05-23-48-03,2025-02-17-17-57-18,13965-2
22,2025-02-05-23-49-50,2025-02-17-18-16-18,13966-0
23,2025-02-05-23-51-39,2025-02-17-18-17-42,13969-0
24,2025-02-05-23-52-44,2025-02-17-18-39-18,13969-1
25,2025-02-05-23-55-11,2025-02-17-18-40-57,13971-0
26,2025-02-06-00-00-39,2025-02-17-19-09-56,13972-0
27,2025-02-06-00-01-42,2025-02-17-19-11-01,13972-1
28,2025-02-06-00-04-21,2025-02-17-19-23-10,13973-0
29,2025-02-06-00-06-56,2025-02-17-19-24-00,13973-1
30,2025-02-06-00-09-11,681689-9,13973-2
31,2025-02-06-00-11-02,681689-10,13974-0
32,2025-02-06-00-13-11,681691-4,13974-1
33,2025-02-06-00-14-52,681691-5,13975-0
34,2025-02-06-00-21-29,681770-10,13976-0
35,2025-02-06-00-23-02,681770-11,13977-0
36,2025-02-06-00-24-24,681771-11,13977-1
37,2025-02-06-00-25-37,681771-12,13977-2
38,2025-02-06-00-27-18,681772-10,13978-0
39,2025-02-06-00-29-04,681774-2,13978-1
40,2025-02-06-00-30-03,2024-03-21-20-46-25,13979-0
41,2025-02-06-00-32-37,2024-03-22-08-22-06,13980-0
42,2025-02-06-00-36-46,2024-03-26-05-11-47,13980-1
43,2025-02-06-00-38-22,2024-03-27-02-02-13,13980-2
44,2025-02-06-00-40-42,2024-03-27-02-31-12,13981-0
45,2025-02-06-00-42-58,2024-03-29-02-07-01,13981-1
46,2025-02-06-00-44-26,2024-03-29-02-29-05,13982-0
47,2025-02-06-00-48-59,2024-04-07-18-01-46,13983-0
48,2025-02-17-16-36-14,2024-04-07-19-29-59,13983-1
49,2025-02-17-16-41-54,2024-04-08-00-56-24,13983-2
50,2025-02-17-16-48-38,2024-04-08-00-57-55,13983-3
51,2025-02-17-16-52-00,2024-04-25-18-46-47,18827-0
52,2025-02-17-16-55-26,2024-04-25-19-28-22,18827-1
53,2025-02-17-16-56-32,2024-04-26-07-10-21,18827-2
54,2025-02-17-16-58-47,2024-04-26-07-17-40,18829-0
55,2025-02-17-17-00-39,2024-04-28-23-07-18,18830-0
56,2025-02-17-17-02-04,2024-04-29-00-02-46,18831-0
57,2025-02-17-17-03-33,2024-04-29-08-04-34,18832-0
58,2025-02-17-17-08-28,2024-04-29-10-00-53,18833-0
59,2025-02-17-17-09-26,2025-02-05-16-16-00,18834-0
60,2025-02-17-17-13-04,2025-02-05-16-18-54,18835-0
61,2025-02-17-17-14-01,2025-02-05-16-42-27,18836-0
62,2025-02-17-17-17-09,2025-02-05-16-45-31,18836-1
63,2025-02-17-17-19-21,2025-02-05-17-05-35,18837-0
64,2025-02-17-17-22-29,2025-02-05-17-09-34,18838-0
65,2025-02-17-17-23-08,2025-02-05-17-32-06,18839-0
66,2025-02-17-17-28-30,2025-02-05-17-34-51,18840-0
67,2025-02-17-17-30-53,2025-02-05-17-57-37,18840-1
68,2025-02-17-17-32-00,2025-02-05-18-01-36,18840-2
69,2025-02-17-17-33-22,2025-02-05-18-24-28,18840-3
70,2025-02-17-17-34-29,2025-02-05-18-28-06,18840-4
71,2025-02-17-17-35-52,2025-02-05-18-49-35,18840-5
72,2025-02-17-17-36-59,2025-02-05-18-51-16,18841-0
73,2025-02-17-17-38-04,2025-02-05-19-12-02,18841-1
74,2025-02-17-17-41-05,2025-02-05-19-14-11,18841-2
75,2025-02-17-17-42-47,2024-03-21-18-38-47,18842-0
76,2025-02-17-17-44-53,2024-03-22-01-01-13,18843-0
77,2025-02-17-17-45-49,2024-03-22-01-53-21,18843-1
78,2025-02-17-17-47-30,2024-03-22-05-12-42,18844-0
79,2025-02-17-17-48-59,2024-03-22-05-55-56,18845-0
80,2025-02-17-17-50-39,2024-03-25-18-25-36,18846-0
81,2025-02-17-17-52-11,2024-03-25-21-05-19,18847-0
82,2025-02-17-18-00-22,2024-03-26-01-48-44,18847-1
83,2025-02-17-18-02-28,2024-03-26-01-54-06,18847-2
